Sport,Available Kit Types,Sleeve Options,Collar Types,Pattern Styles,Add-on Products
Soccer,Jersey / Jersey + Shorts / track suit / track jacket/ track hoodie/ track jacket half zip,Sleeveless/ short / long,Crew / V-Neck / Mandarin / Polo,Gradient / Slash / Panel / Striped / Digital / Minimal,"Socks, Headwear, Kitbag, Tracksuit (Full/Half/Hooded)"
Basketball,Jersey / Jersey + Shorts / track suit / track jacket/ track hoodie/ track jacket half zip,Sleeveless/ short / long,Crew / V-Neck / Round Zip,Gradient / Slash / Panel / Digital,"Socks, Headwear, Kitbag, Tracksuit (Full/Half/Hooded)"
Rugby,Jersey / Jersey + Shorts / track suit / track jacket/ track hoodie/ track jacket half zip,Sleeveless/ short / long,V-Neck / Polo / Round Zip,Panel / Striped / Digital,"Socks, Headwear, Kitbag, Tracksuit (Full/Half/Hooded)"
Cricket,Jersey / Jersey + Trousers ,Sleeveless/ short / long,Mandarin / Polo / Round Zip,Gradient / Minimal / Striped,"Cap, Kitbag, Tracksuit (Full/Half/Hooded)"
Esports,Jersey / esports jacket / esports hoodie,Sleeveless/ short / long,V-neck / Crew / Round Zip,Digital / Minimal,"Headwear, Kitbag, Tracksuit (Full/Half/Hooded)"
